Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,Amazon RDS for PostgreSQL,0,4001.752,48021.02,USD,"Quantity (1), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Instance type (db.m5.12xlarge)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,606.67,7280.04,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances  ), Storage amount (30 GB), Instance type (t4g.xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,Amazon EC2,0,355.26,4263.12,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances  ), Storage amount (30 GB), Instance type (c5a.large)"
My Estimate,US East (N. Virginia),Amazon Route 53,Amazon Route 53,0,1320.5,15846.00,USD,"Hosted Zones (1), Basic Checks Within AWS (500), Number of Elastic Network Interfaces (12)"
My Estimate,US East (N. Virginia),Amazon Simple Storage Service (S3),S3 Standard,0,46.78,561.36,USD,S3 Standard storage (2000 GB per month)
My Estimate,US East (N. Virginia),Amazon Simple Storage Service (S3),Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (0 TB per month)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),Amazon Virtual Private Cloud (VPC),0,392.85,4714.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,Application Load Balancer,0,1476.43,17717.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,Network Load Balancer,0,1330.43,15965.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (200 GB per hour), Average TCP connection duration (30 seconds), Processed bytes per NLB for TLS (100 GB per hour), Average number of new TLS connections (10 per second), Average TLS connection duration (30 seconds), Average number of new TCP connections (10 per second)"
My Estimate,US East (N. Virginia),Amazon CloudWatch,Amazon CloudWatch,0,135.2165,1622.60,USD,"Number of Metrics (includes detailed and custom metrics) (200), Number of Lambda functions (10), Number of requests per function (200 per hour), Standard Logs: Data Ingested (100 GB), GetMetricData: Number of metrics requested (50)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
